	gene
6173	Y43F8B.28
2732	fip-5
3282	his-54
3283	C37A5.3
2733	R12E2.7
1833	col-168
2246	col-147
3286	far-7
3880	C36A4.11
3881	col-149
2735	C39D10.8
3288	ora-1
3882	F26G1.5
3883	col-145
3289	dos-1
3885	F45D3.4
4494	Y38E10A.14
5062	ttr-33
5614	catp-3
5615	srd-13
5063	fat-6
5616	hrg-2
5617	Y12A6A.1
6181	ins-33
4495	txt-11
5064	C15A11.7
5065	F45D11.15
2247	C02E7.7
2736	ZK1025.8
2737	Y48G8AL.12
3292	R02E4.3
3888	col-152
3889	gst-19
3293	col-175
3890	F27E5.7
4500	col-88
4501	grl-27
3891	C04G6.2
4502	cnc-11
4503	K02E11.10
741	C50F4.6
1100	flp-11
1470	F53F4.2
1834	unc-13
1835	Y44A6D.7
1471	exp-2
1101	nduo-6
1472	hil-7
1838	mps-2
2254	aqp-2
2738	ZC449.5
3294	ceh-31
5075	mam-5
4506	unc-42
5076	xbx-4
5626	egl-1
5627	K07C11.10
6186	F19G12.3
6187	Y55D5A.1
5077	lad-2
6188	F36H5.12
6189	Y73C8C.4
5629	tsp-7
6191	F36H1.11
6735	fkh-4
7199	ptb-1
4507	cutl-13
5078	cutl-24
5630	ZK643.2
5631	col-53
6195	K12G11.6
5079	C32B5.18
5632	dmd-5
5633	F14F9.5
6199	sir-2.3
3295	C30G12.4
3894	C17F4.2
4509	F29B9.8
5080	cutl-8
5634	K08D12.4
5635	H13N06.7
5636	Y54G2A.28
5637	hlh-32
4510	fig-1
5082	T19E7.6
5638	C54D2.6
5639	klp-7
6210	mltn-3
6751	math-38
6213	Y38E10A.2
5641	T15D6.8
6215	K08C9.6
5084	D2024.4
6216	C43F9.11
6217	srx-128
6760	K08C9.9
6761	Y7A5A.13
6762	srlf-9
7220	nstp-7
6765	ZK816.3
6766	srab-9
7626	srw-113
6767	sre-41
7228	sri-61
7229	C16C8.10
2739	nhr-25
3296	unc-130
4512	F18C5.9
5086	dyf-7
5087	F44D12.2
4513	R02F2.1
5088	D1086.12
5651	sdz-28
6227	R107.5
6769	nxt-1
5089	cutl-3
5652	cutl-9
6228	C18D4.6
6770	F21A3.3
6771	T13G4.4
6229	cutl-10
6773	unc-3
7237	ncr-1
7634	bar-1
7635	unc-75
5653	mig-1
6775	srr-8
7239	pigk-1
7636	T28C6.11
7637	nas-3
6231	gpa-9
6776	sem-4
6777	F07A5.4
3897	F16C3.2
5090	T05A7.3
5091	hot-6
6232	srsx-31
6780	clec-112
7245	C46E10.3
5657	ZK262.9
6235	F09C6.14
5092	ZK930.6
5658	cutl-25
7251	grl-29
5659	fbxc-15
6238	str-32
6787	frpr-19
6788	Y7A5A.9
7257	che-1
7651	fbxc-17
5093	trx-1
5660	arl-6
6240	C35E7.6
6241	Y46C8AL.11
5661	nhr-202
6242	Y110A2AL.7
6243	F47C12.6
3898	Y37E3.30
4516	T22B7.3
5663	srz-23
4517	ham-2
6247	Y43F8B.9
7270	pbo-6
6249	C06E2.9
5666	C31C9.2
6250	F45E10.2
6251	C17H11.4
6810	ZK938.11
6811	F27D4.12
5667	F26F2.5
7279	hlh-19
5669	str-15
5670	cutl-5
6259	nhr-253
6822	srh-46
6823	grd-16
4519	F44E2.4
5100	haly-1
5672	F47B10.3
5673	F47D12.6
6265	F47H4.2
6830	Y32B12A.5
6831	F08D12.4
7989	srbc-12
8249	E02C12.19
7665	F49F1.11
8250	F19G12.4
6268	Y42G9A.3
6832	Y41G9A.5
7295	fezf-1
7297	srh-308
6269	dbr-1
6834	ceh-5
6835	C01G10.5
2255	T02E9.5
2740	enpl-1
3298	Y65A5A.1
5103	F23D12.10
5676	dmsr-5
6273	srbc-78
4521	nhr-242
5678	ensh-1
6838	clec-189
6839	str-71
3901	M03D4.4
5683	srz-83
5685	clec-260
6283	Y19D10B.8
5686	str-140
6849	srbc-65
6287	F35E8.10
6851	nhr-269
5688	nhr-207
5689	sre-32
6291	Y49F6C.7
3299	F54E2.2
3902	chtb-2
6293	srw-41
7319	sre-34
6863	clec-68
7327	ZK228.13
4525	srh-42
5112	W08E12.9
5113	ocr-3
5696	srh-125
6303	sknr-1
7334	Y19D10A.2
7337	T09A12.8
3903	Y53F4B.20
4526	algn-6
5698	F35E8.2
6307	Y53F4B.5
5701	ZK177.11
6314	T22B2.5
6315	F09C6.15
5704	ZK218.3
6889	K10D11.4
2741	his-24
3300	hlh-16
3301	fbxa-3
3906	E01G4.5
4528	ins-2
5120	cnd-1
5121	npp-26
3907	fbxc-34
4530	Y71F9AL.25
5712	C37E2.3
6325	Y113G7B.11
6893	lin-38
5713	sptf-1
5123	F53G2.1
5714	zip-7
7354	thn-6
7355	str-14
5715	Y7A5A.20
5124	C03C10.5
6332	fbxa-103
6333	Y53F4B.17
5719	fbxc-25
6904	C09G12.17
6905	duox-2
6906	C07C7.1
7363	Y73F8A.22
7717	ceh-16
6907	ceh-6
1839	T03F1.11
2256	chtb-1
2742	cpg-19
3302	F14H3.15
5126	C33B4.5
4533	Y48A6B.8
5132	ceh-84
5729	T25E4.2
6913	vmo-1
6914	mgl-3
6915	nhr-27
3910	tfbm-1
4537	ZC15.3
3911	tkr-3
6357	Y37H2A.11
2743	cyn-17
5736	T14G12.6
6360	ptr-19
6361	sre-40
6926	srz-58
6927	Y75B8A.33
7389	srw-112
5747	srsx-36
3305	spp-7
3914	W01C9.1
6378	F41H10.12
4545	cutl-11
5150	inx-20
7405	srx-6
6386	Y54H5A.2
6954	C38H2.3
7409	T06C12.9
3915	cdc-25.4
4546	C09F12.3
5152	nhr-173
7427	Y5H2A.1
7431	F11D5.7
6974	srx-54
7444	irld-36
7779	F38H12.5
8037	srz-54
6981	K04G11.1
6403	C33C12.11
6983	F54D12.8
7449	C44C10.10
6404	pals-11
6405	F54D12.1
5767	F35A5.5
6989	srd-48
2257	idpc-4
2744	W08E12.6
3306	pqn-71
3916	idpc-7
4549	F10G2.10
5771	srlf-37
5772	srg-59
3307	C49F8.15
3918	idpc-5
5165	lgc-19
5777	sru-28
5166	C41C4.9
5167	srd-51
3919	K08D12.8
5169	idpp-8
6422	epic-3
7458	srlf-26
7460	C54E10.10
6425	Y51H7BR.8
2745	W08E12.2
3308	W08E12.4
3920	nas-1
3921	twk-12
3309	nspb-8
1473	ZK632.9
1840	amph-1
2258	ttr-14
2746	cnp-2
3310	C49F8.1
3311	eol-1
3927	srh-181
2747	D1086.10
3313	srp-7
2259	spex-3
2748	ule-4
3315	ule-2
3931	ttr-3
4567	ttr-2
2749	C35B1.4
1841	dad-1
2260	ZK675.4
3318	C25F9.9
3934	C36C9.4
4569	F15H10.5
5177	clec-3
5181	H02F09.3
5795	K02A2.5
3319	H12D21.6
2751	Y65B4BL.6
3321	F13B6.3
3938	D2092.8
4575	aqp-6
5798	clec-2
5799	amt-1
5185	K06B9.6
4577	F07G6.8
5186	cutl-18
5187	ZK896.1
2753	mmab-1
3322	C14F11.4
4578	ttr-51
5188	F22H10.6
5189	H12D21.3
5190	K09H11.4
5811	F53H4.2
6440	T16G12.12
7006	flp-19
7465	C37C3.11
5813	flp-14
6443	F57A8.7
7009	ins-17
3941	sth-1
4580	Y47G6A.15
4581	ttr-34
5194	F15G9.1
5195	T04F3.1
5816	C40C9.3
5817	C36E6.8
6446	acd-1
6447	ucr-2.2
7013	M01A8.1
7470	frm-4
7802	str-163
8043	cil-7
8271	F27C8.3
7803	F55B11.7
8044	srz-79
8274	sri-13
8275	F55B11.6
7471	dmsr-12
3323	ribo-1
3942	rla-1
4582	asp-1
5196	clec-17
5818	hrg-10
