	gene
6301	grl-26
4101	pph-6
4540	Y59A8B.26
4541	rbpl-1
5066	hil-4
5670	clec-87
6302	rgs-11
6906	grif-1
7419	F44E2.8
7849	mtx-1
8156	tre-1
8157	ZK829.9
6907	rnr-2
7421	C29H12.2
7850	adm-4
7851	F15A4.10
8160	R09F10.8
8440	F56H6.2
8441	irld-26
8161	sdz-37
8442	math-7
8443	ints-6
8667	tag-276
6303	scyl-1
6908	cpg-3
7422	Y46H3C.7
7423	cbd-1
7854	gst-7
8162	Y105C5B.20
8669	B0416.10
8670	F23D12.2
8843	clec-134
8671	fbxa-184
8163	B0281.4
8446	W06D11.5
8674	rgs-10
8675	srd-42
7855	ilys-5
8448	fbxa-181
8677	F12E12.6
8850	tbx-33
8851	C02F12.8
8678	srg-62
6909	K02B12.6
7425	ife-1
7856	F37A4.5
8166	B0457.4
8450	H12I13.6
8451	Y81B9A.3
8167	Y69A2AR.46
8453	Y116A8C.469
8685	C15H11.10
8858	F22F7.11
8859	F07B7.7
8168	Y73F8A.32
8455	str-141
8169	W10C8.5
8456	F36A2.14
8457	icmt-1
5671	glh-1
6304	bath-36
6910	gad-2
7859	F13A2.5
8170	ZC262.12
8171	nhr-111
8460	R13A1.10
8697	irg-6
8866	cyp-35A1
8867	C03B1.4
6911	sip-1
7860	C04G6.6
7861	F13A2.2
8174	Y20F4.4
8175	ZC262.11
7429	F16B4.6
7862	Y47G7B.2
7863	T16H12.13
8468	K11D2.1
8469	C16C8.20
8700	Y92H12BL.4
8701	plep-1
8703	C16C8.25
8875	ZK643.6
9005	R03D7.15
8471	F57A10.2
6305	erh-1
7430	pigw-1
7431	Y48G1BM.6
7866	F49H6.8
7867	timm-17B.2
8182	C01G12.16
8472	C49C8.3
8709	Y53F4B.10
8879	ZK666.4
8881	bath-13
8713	F49H6.5
6913	C36B1.11
8478	math-31
8479	T25B2.4
8481	Y52E8A.1
8720	scrt-1
8483	H11E01.2
8189	F15D4.6
6306	fipr-2
6915	Y73F4A.2
7434	myo-1
7872	F41E6.15
7873	C45G9.6
7435	fipr-6
7875	abu-9
6916	C33A12.4
7437	capa-1
7876	flp-27
7877	daf-28
7438	fbxb-75
7878	C50F4.6
8200	dsl-2
8492	C35D6.3
8493	his-60
8728	F23D12.4
8899	F21D9.1
9020	ets-7
9021	ceh-51
8729	ZK177.1
8900	sdz-15
8901	sdz-13
8494	D1086.12
8731	T16A1.4
8903	R107.5
8495	ZK402.2
8733	fbxb-74
8904	Y116F11A.1
8905	lag-2
8202	unc-25
8496	lim-9
8497	ins-23
8738	oac-4
8908	fbxb-38
8909	ref-1
8912	C49G7.12
8913	srj-6
7880	lec-4
